adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
HOXA11,DNAH9,PRKAR2B,ABCC8,NDUFAB1,ITGAL,THSD7A,SLC22A16,PDK4,REXO5,THSD7A,,SCIN,WIPF1,HCCS,SLC4A1,KRT33A,ITGA2B,,PON1,GAS7,KRT81,CRLF1,PRSS22,QRFPR,DHX33,,CALCR,SLC4A1,ABCB4,ITGA2B,IBTK,SLC25A5,PON1,ITGAL,,ABCB4,SPATA20,TAC1,GNAT1,KRT33A,AP2B1,ITGAL,,NDUFAB1,ABCB4,TNFRSF12A,SPPL2B,CALCR,SLC4A1,PRSS22,CD79B,DNAH9,,CDC27,,AP2B1,CIAPIN1,SPATA20,ABCB4
DHX33,SLC13A2,MPO,CACNG3,PDK4,ITGA2B,LIG3,ST7,SLC22A16,CIAPIN1,ACSM3,,PRSS21,CD2,PRSS22,CALCR,CACNG3,CRLF1,,GCFC2,CEACAM7,KRTAP16-1,YBX2,SKAP2,CCK,THSD7A,,DVL2,CALCR,KMT2E,CRLF1,ITGAL,MCUB,GCFC2,ITGA2B,,KMT2E,PHTF2,USH1C,EFEMP1,ABCC8,ALDH3B1,ITGA2B,,PDK4,KMT2E,USH1C,ATOSB,DVL2,CALCR,UPF1,TKTL1,SLC13A2,,SLC4A1,,TAC1,ATOSB,USH1C,KMT2E
MEOX1,GAS7,PON1,TMEM132A,SLC22A16,CRLF1,REXO5,SLC4A1,SLC25A13,ATOSB,REXO5,,PROM1,MFAP2,UPF1,HCCS,TMEM132A,YBX2,,WDR54,CD79B,KRTAP2-3,KRT33A,MCUB,LUZP2,ACSM3,,PRSS22,HCCS,RHBDD2,YBX2,ITGA2B,HOXA11,WDR54,REX1BD,,RHBDD2,USH1C,SCIN,PDC,CACNG3,PHTF2,REX1BD,,SLC22A16,RHBDD2,SCIN,MSL3,PRSS22,DVL2,SKAP2,PAX6,GAS7,,CALCR,,SPATA20,COPZ2,PRSS21,RHBDD2
THSD7A,CEACAM7,GCFC2,AP2B1,SLC25A13,YBX2,CIAPIN1,CALCR,ST7,COPZ2,CIAPIN1,,DNAH9,CCDC181,SKAP2,PRSS22,SCIN,KRT33A,,ABCB4,ST7L,KRTAP2-1,ABCC8,HOXA11,RTP5,REXO5,,UPF1,PRSS22,IBTK,KRT33A,CRLF1,DHX33,CROT,CRLF1,,ITGAL,SCIN,PRSS21,VSX2,SPATA20,USH1C,CRLF1,,SLC25A13,ITGAL,PRSS21,MPO,UPF1,PRSS22,MCUB,CACNA2D2,CD79B,,HCCS,,SCIN,PRKAR2B,PROM1,IBTK
ACSM3,CD79B,WDR54,TAC1,ST7,KRT33A,COPZ2,HCCS,SLC4A1,PRKAR2B,SPPL2B,,SLC13A2,ABCG2,MCUB,SKAP2,PRSS21,ABCC8,,KMT2E,TKTL1,KRTAP3-3,CACNG3,MEOX1,HMX2,CIAPIN1,,SKAP2,SKAP2,ITGA3,ABCC8,YBX2,THSD7A,ABCB4,YBX2,,ITGA2B,ADIPOR2,PROM1,MLANA,ALDH3B1,ADIPOR2,YBX2,,ST7,PDK2,PROM1,PON1,SKAP2,UPF1,HOXA11,SELE,ST7L,,PRSS22,,PRSS21,MSL3,NOS2,ITGAL
REXO5,ST7L,CROT,SPATA20,SLC4A1,ABCC8,MSL3,PRSS22,CALCR,MPO,COPZ2,,GAS7,ALDH6A1,HOXA11,SLC25A5,NOS2,CACNG3,,RHBDD2,PAX6,KRTAP3-2,AP2B1,LIG3,,SPPL2B,,SLC25A5,MCUB,ITGA2B,CACNG3,KRT33A,ACSM3,KMT2E,KRT33A,,CRLF1,PRSS21,DNAH9,ARR3,ELAC2,PRSS21,KRT33A,,CDC27,ITGA3,NOS2,GCFC2,SLC25A5,SKAP2,DHX33,FMO3,TKTL1,,UPF1,,NOS2,MPO,DNAH9,PDK2
CIAPIN1,TKTL1,ABCB4,USH1C,CALCR,CACNG3,MPO,SKAP2,HCCS,PON1,PRKAR2B,,CD79B,CSTA,DHX33,MCUB,DNAH9,TAC1,,ITGAL,CACNA2D2,KRTAP2-4,TAC1,ACSM3,,ATOSB,,MCUB,HOXA11,REX1BD,TMEM132A,ABCC8,REXO5,RHBDD2,CACNG3,,OSBPL7,PROM1,SLC13A2,OPN4,SCIN,NOS2,ABCC8,,SLC4A1,LAMP2,DNAH9,ABCB4,MCUB,SLC25A5,MEOX1,SYN1,CACNA2D2,,SKAP2,,DNAH9,PON1,SLC13A2,ITGA2B
SPPL2B,PAX6,KMT2E,ARHGAP44,PRSS22,TMEM132A,PON1,SLC25A5,DVL2,CROT,MPO,,ST7L,PAEP,THSD7A,HOXA11,SLC13A2,SPATA20,,ITGA2B,SELE,KRTAP2-2,MAP3K9,REXO5,,COPZ2,,HOXA11,DHX33,CRLF1,AP2B1,CACNG3,CIAPIN1,ITGAL,TMEM132A,,YBX2,NOS2,GAS7,OPN5,PRSS21,DNAH9,CACNG3,,CALCR,ITGA2B,SLC13A2,KMT2E,HOXA11,MCUB,THSD7A,DLEC1,SELE,,MCUB,,SLC13A2,WDR54,GAS7,CRLF1
MSL3,CACNA2D2,RHBDD2,SCIN,UPF1,AP2B1,GCFC2,MCUB,PRSS22,ABCB4,PON1,,TKTL1,CALD1,ACSM3,DHX33,GAS7,MAP3K9,,REX1BD,SYN1,RPTN,KDM7A,CIAPIN1,,PRKAR2B,,DHX33,THSD7A,TMEM98,SPATA20,TMEM132A,SPPL2B,ITGA2B,TAC1,,KRT33A,DNAH9,CD79B,PLA2G5,NOS2,GAS7,TAC1,,PRSS22,CRLF1,GAS7,RHBDD2,DHX33,HOXA11,LIG3,CELSR3,FMO3,,HOXA11,,GAS7,CROT,MATK,OSBPL7
TSPOAP1,SELE,ITGAL,ADIPOR2,SKAP2,BAIAP2L1,WDR54,HOXA11,UPF1,KMT2E,GCFC2,,PAX6,SCGB2A1,REXO5,THSD7A,CD79B,ALDH3B1,,CRLF1,TFAP2B,,TTC22,COPZ2,,MSL3,,MEOX1,LIG3,YBX2,BAIAP2L1,TAC1,ATOSB,REX1BD,SPATA20,,CACNG3,SLC13A2,ST7L,GNG13,DNAH9,MATK,TTC22,,SKAP2,YBX2,CD79B,IBTK,MEOX1,DHX33,REXO5,PGLYRP1,SYN1,,DHX33,,MATK,ABCB4,CEACAM7,YBX2
MPO,SYN1,PDK2,PRSS21,SLC25A5,GTF2IRD1,CROT,DHX33,SKAP2,RHBDD2,WDR54,,CACNA2D2,SOX9,CIAPIN1,ACSM3,ST7L,PRSS21,,YBX2,DLEC1,,PHTF2,MSL3,,MPO,,THSD7A,ACSM3,KRT33A,GTF2IRD1,SPATA20,COPZ2,CRLF1,MAP3K9,,TMEM132A,GAS7,TKTL1,GNGT1,GAS7,CD79B,ARHGAP44,,SLC25A5,KRT33A,ST7L,ITGAL,THSD7A,THSD7A,CIAPIN1,RHOBTB2,DLEC1,,THSD7A,,CEACAM7,KMT2E,CD79B,KRT33A
PON1,TFAP2B,ITGA3,PROM1,MCUB,ELAC2,ABCB4,MEOX1,SLC25A5,ITGAL,CROT,,CRAMP1,CD93,SPPL2B,REXO5,TKTL1,PROM1,,KRT33A,CYB561,,ELAC2,MPO,,PON1,,LIG3,REXO5,ABCC8,ELAC2,MAP3K9,MSL3,OSBPL7,USH1C,,TAC1,MATK,PAX6,OPN1SW,CD79B,ST7L,SCIN,,HOXA11,ABCC8,TKTL1,ITGA2B,ACSM3,ACSM3,SPPL2B,MASP2,CYTH3,,LIG3,,CD79B,RHBDD2,ST7L,ABCC8
CROT,DLEC1,ITGA2B,DNAH9,HOXA11,SCIN,KMT2E,THSD7A,MCUB,PDK2,ABCB4,,SELE,CD68,COPZ2,CIAPIN1,PAX6,NOS2,,CACNG3,SPAG9,,SCIN,PON1,,WDR54,,ACSM3,CIAPIN1,CACNG3,SCIN,ALDH3B1,TSPOAP1,YBX2,ARHGAP44,,SPATA20,CEACAM7,CACNA2D2,KCNC1,TKTL1,TKTL1,PRSS21,,DHX33,CACNG3,PAX6,CRLF1,REXO5,REXO5,COPZ2,IYD,CELSR3,,RPAP3,,ST7L,IBTK,TKTL1,CACNG3
ABCB4,PGLYRP1,REX1BD,SLC13A2,DHX33,ADIPOR2,RHBDD2,ACSM3,HOXA11,ITGA2B,KMT2E,,FMO3,FOXJ1,PRKAR2B,SPPL2B,CACNA2D2,DNAH9,,TMEM132A,CELSR3,,PRSS21,GCFC2,,CROT,,REXO5,SPPL2B,TMEM132A,ADIPOR2,USH1C,MPO,KRT33A,SCIN,,TNFRSF12A,CD79B,SELE,AIPL1,PAX6,PAX6,DNAH9,,MEOX1,TMEM132A,CACNA2D2,OSBPL7,CIAPIN1,CIAPIN1,PRKAR2B,FAM76A,PGLYRP1,,ACSM3,,TKTL1,ITGAL,PAX6,TMEM132A
KMT2E,NFIX,CRLF1,GAS7,THSD7A,PRSS21,IBTK,REXO5,DHX33,REX1BD,RHBDD2,,E2F2,CNN1,MSL3,ATOSB,SELE,SLC13A2,,AP2B1,PGLYRP1,,PROM1,WDR54,,ABCB4,,CIAPIN1,ATOSB,TAC1,PRSS21,ARHGAP44,PON1,CACNG3,ADIPOR2,,ALDH3B1,ST7L,FMO3,ATP1B2,CACNA2D2,CACNA2D2,SLC13A2,,THSD7A,TAC1,SELE,YBX2,SPPL2B,ATOSB,MSL3,SPRTN,MASP2,,REXO5,,PAX6,ITGA3,CACNA2D2,AP2B1
RHBDD2,MASP2,TMEM98,CEACAM7,ACSM3,PROM1,ITGAL,CIAPIN1,MEOX1,CRLF1,ITGAL,,SYN1,APOE,MPO,COPZ2,SYN1,GAS7,,TAC1,RHOBTB2,,SLC13A2,CROT,,KMT2E,,COPZ2,COPZ2,SPATA20,PROM1,SCIN,GCFC2,TMEM132A,PRSS21,,PHTF2,TKTL1,E2F2,NRL,CRAMP1,CRAMP1,GAS7,,ACSM3,SPATA20,FMO3,KRT33A,ATOSB,COPZ2,TSPOAP1,DYRK4,IYD,,CIAPIN1,,CACNA2D2,ITGA2B,SELE,TAC1
ITGAL,IYD,YBX2,CD79B,REXO5,DNAH9,PDK2,SPPL2B,THSD7A,OSBPL7,PDK2,,TFAP2B,PLVAP,PON1,PRKAR2B,NADK,MATK,,SPATA20,MASP2,,GAS7,ABCB4,,RHBDD2,,PRKAR2B,PRKAR2B,MAP3K9,DNAH9,PRSS21,WDR54,TAC1,PROM1,,USH1C,PAX6,SYN1,SAG,SELE,SELE,CEACAM7,,REXO5,ALDH3B1,E2F2,ABCC8,COPZ2,PRKAR2B,MPO,HHATL,FAM76A,,SPPL2B,,SELE,REX1BD,FMO3,SPATA20
ITGA3,DYRK4,KRT33A,ST7L,CIAPIN1,SLC13A2,ITGA3,COPZ2,LIG3,YBX2,ITGA2B,,DLEC1,MYH11,GCFC2,MSL3,DLEC1,CEACAM7,,BAIAP2L1,IYD,,CD79B,KMT2E,,IBTK,,MSL3,MSL3,KDM7A,SLC13A2,PROM1,CROT,SPATA20,NOS2,,GGCT,CACNA2D2,TFAP2B,MPP1,SYN1,FMO3,CD79B,,CIAPIN1,USH1C,SYN1,CACNG3,MSL3,MSL3,PON1,PHF7,SPRTN,,ATOSB,,SYN1,CRLF1,E2F2,MAP3K9
ITGA2B,HHATL,CACNG3,TKTL1,SPPL2B,GAS7,ITGA2B,PRKAR2B,ACSM3,KRT33A,CRLF1,,CYTH3,PDGFRA,WDR54,TSPOAP1,SPAG9,CD79B,,USH1C,SPRTN,,ST7L,RHBDD2,,ITGAL,,MPO,CREBBP,ALDH3B1,GAS7,NOS2,ABCB4,TNFRSF12A,DNAH9,,SCIN,CRAMP1,DLEC1,SLC6A6,NADK,SYN1,ST7L,,ATOSB,SCIN,TFAP2B,AP2B1,TSPOAP1,TSPOAP1,GCFC2,PRSS3,DYRK4,,MSL3,,TFAP2B,OSBPL7,SYN1,RALA
CRLF1,PHF7,TMEM132A,PAX6,ATOSB,TRAPPC6A,REX1BD,MSL3,REXO5,ABCC8,YBX2,,CELSR3,DYSF,CROT,MPO,CELSR3,ST7L,,GTF2IRD1,DYRK4,,TKTL1,IBTK,,PDK2,,PON1,TSPOAP1,TTC22,TRAPPC6A,DNAH9,KMT2E,MAP3K9,SLC13A2,,PRSS21,SELE,CYTH3,PDE6A,DLEC1,DLEC1,TKTL1,,COPZ2,PRSS21,DLEC1,TAC1,MPO,MPO,CROT,CD4,HHATL,,CREBBP,,DLEC1,YBX2,DLEC1,ALDH3B1
OSBPL7,PRSS3,AP2B1,CACNA2D2,COPZ2,CEACAM7,CRLF1,MPO,CIAPIN1,CACNG3,KRT33A,,AASS,IL33,ABCB4,PON1,SS18L2,TKTL1,,ELAC2,CD9,,PAX6,ITGAL,,LAMP2,,GCFC2,MPO,PHTF2,CEACAM7,SLC13A2,RHBDD2,KDM7A,GAS7,,PROM1,FMO3,CELSR3,PDE6B,CYTH3,CYTH3,PAX6,,PRKAR2B,PROM1,CYTH3,SPATA20,PON1,PON1,ABCB4,LRRC23,IFFO1,,TSPOAP1,,CELSR3,KRT33A,CYTH3,ARHGAP44
YBX2,CD4,TAC1,SYN1,MSL3,CD79B,OSBPL7,PON1,COPZ2,TMEM132A,CACNG3,,MGST1,IDH1,KMT2E,GCFC2,MGST1,PAX6,,SCIN,HHATL,,CACNA2D2,ITGA3,,ITGA2B,,ABCB4,PON1,USH1C,CD79B,GAS7,IBTK,PHTF2,TRAPPC6A,,NOS2,E2F2,AASS,TRPM1,SPAG9,SPAG9,SELE,,TSPOAP1,CCDC124,CELSR3,MAP3K9,GCFC2,GCFC2,KMT2E,BTK,PHF7,,MPO,,PGLYRP1,ABCC8,CYB561,SCIN
KRT33A,LRRC23,ZNF263,TFAP2B,TSPOAP1,ST7L,YBX2,GCFC2,MSL3,AP2B1,TMEM132A,,PGLYRP1,ENPEP,RHBDD2,WDR54,PGLYRP1,CACNA2D2,,ADIPOR2,IFFO1,,CRAMP1,ZFX,,CRLF1,,KMT2E,GCFC2,GTF2IRD1,ST7L,MATK,ITGAL,USH1C,MATK,,DNAH9,SYN1,MGST1,CRB1,CELSR3,CELSR3,FMO3,,MPO,NOS2,AASS,PAF1,WDR54,CROT,RHBDD2,FYN,PRSS3,,PON1,,PKD1,CACNG3,CELSR3,PRSS21
ABCC8,BTK,SPATA20,DLEC1,MPO,TKTL1,KRT33A,WDR54,MPO,TAC1,AP2B1,,MASP2,FBLN5,IBTK,CROT,MMP25,SELE,,PRSS21,PHF7,,SELE,ITGA2B,,OSBPL7,,RHBDD2,WDR54,VPS41,TKTL1,CEACAM7,ITGA2B,IFRD1,CD79B,,SLC13A2,NADK,PGLYRP1,MTNR1B,PLEKHG6,PLEKHG6,E2F2,,PON1,DNAH9,MGST1,ARHGAP44,CROT,ABCB4,IBTK,FMO1,ZNF200,,GCFC2,,RHOBTB2,TMEM132A,PLEKHG6,PROM1
CACNG3,FMO1,TNFRSF12A,SPAG9,PON1,PAX6,MAP3K14,CROT,PON1,SPATA20,TAC1,,IYD,MYLK3,ITGAL,ABCB4,RHOBTB2,FMO3,,PROM1,PRSS3,,FMO3,REX1BD,,YBX2,,ITGAL,CROT,ARHGAP44,PAX6,CD79B,CRLF1,VPS41,ST7L,,GAS7,DLEC1,MASP2,MSI1,PGLYRP1,PGLYRP1,SYN1,,GCFC2,SLC13A2,PGLYRP1,ELAC2,ABCB4,KMT2E,PDK2,CLCN6,CD4,,WDR54,,MASP2,AP2B1,PGLYRP1,NOS2
TMEM132A,BTBD7,ALDH3B1,CELSR3,GCFC2,RPUSD1,CACNG3,ABCB4,GCFC2,ALDH3B1,SPATA20,,SPRTN,CDH11,ITGA3,KMT2E,UBE3C,SYN1,,NOS2,CD4,,E2F2,CRLF1,,KRT33A,,PDK2,ABCB4,SCIN,RPUSD1,ST7L,OSBPL7,ELAC2,TKTL1,,MATK,CYTH3,IYD,SEMA4F,PKD1,RHOBTB2,NADK,,ABCB4,GAS7,MASP2,SCIN,KMT2E,RHBDD2,ITGA3,DPF1,LRRC23,,ABCB4,,TRAF3IP3,TAC1,RHOBTB2,DNAH9
TAC1,DPF1,TTC22,PLEKHG6,WDR54,CACNA2D2,TMEM132A,KMT2E,WDR54,USH1C,TNFRSF12A,,DYRK4,LRRC46,ITGA2B,RHBDD2,MASP2,DLEC1,,DNAH9,LRRC23,,SYN1,OSBPL7,,MAP3K14,,ZFX,KMT2E,ADIPOR2,FMO3,TKTL1,TMEM98,SCIN,PAX6,,CEACAM7,SPAG9,SPRTN,TFAP2A,RHOBTB2,MASP2,TFAP2B,,KMT2E,CD79B,IYD,PRSS21,RHBDD2,IBTK,LAMP2,SYT7,BTK,,KMT2E,,DYRK4,SPATA20,SEC62,BLTP2
ZNF263,SYT7,PHTF2,MGST1,CROT,SELE,TAC1,RHBDD2,CROT,ARHGAP44,MAP3K9,,HHATL,CFAP74,REX1BD,IBTK,IYD,CYTH3,,SLC13A2,BTK,,TFAP2B,YBX2,,ABCC8,,ITGA2B,RHBDD2,PRSS21,SYN1,PAX6,YBX2,PRSS21,RPUSD1,,CD79B,CELSR3,DYRK4,MGARP,MASP2,IYD,DLEC1,,RHBDD2,ST7L,SPRTN,DNAH9,IBTK,ITGAL,ITGA2B,PLAUR,FYN,,RHBDD2,,HHATL,MAP3K9,MASP2,SLC13A2
SPATA20,PLAUR,FARP2,PKD1,ABCB4,E2F2,SPATA20,IBTK,ABCB4,SCIN,PHTF2,,PHF7,CRABP2,CRLF1,ITGAL,SPRTN,CELSR3,,GAS7,FMO1,,DLEC1,KRT33A,,CACNG3,,REX1BD,ITGAL,MARK4,CDKL5,CACNA2D2,KRT33A,PROM1,CACNA2D2,,ST7L,PLEKHG6,HHATL,SPTBN5,IYD,FAM76A,SPAG9,,IBTK,TKTL1,DYRK4,SLC13A2,ITGAL,PDK2,REX1BD,DCN,FMO1,,ITGAL,,IFFO1,KDM7A,IYD,GAS7
TNFRSF12A,ANLN,USH1C,RHOBTB2,KMT2E,SYN1,MAP3K9,ITGAL,KMT2E,ADIPOR2,USH1C,,PRSS3,ROPN1L,OSBPL7,PDK2,DYRK4,PLEKHG6,,TRAPPC6A,BTBD7,,SPAG9,MAP3K14,,TMEM132A,,CRLF1,PDK2,PROM1,DLEC1,SELE,MAP3K14,NOS2,CRAMP1,,TKTL1,SS18L2,PHF7,PDE6H,SPRTN,TRAF3IP3,CELSR3,,ITGAL,PAX6,HHATL,GAS7,ITGA3,ITGA3,CRLF1,ZBTB32,CLCN6,,PDK2,,PHF7,ALDH3B1,FAM76A,MATK
MAP3K9,DCN,GTF2IRD1,MASP2,RHBDD2,CDKL5,KDM7A,ITGA3,RHBDD2,PRSS21,GTF2IRD1,,CD4,ZEB1,TMEM98,ITGA3,HHATL,PGLYRP1,,MATK,DPF1,,CELSR3,ABCC8,,AP2B1,,OSBPL7,LAMP2,NOS2,CYB561,FMO3,ABCC8,DNAH9,SELE,,PAX6,PGLYRP1,PRSS3,RB1,DYRK4,SPRTN,SS18L2,,PDK2,CACNA2D2,PHF7,TRAPPC6A,ZFX,ZFX,OSBPL7,TYROBP,DPF1,,ZFX,,PRSS3,TTC22,SPRTN,CEACAM7
ALDH3B1,MAP4K3,VPS41,IYD,IBTK,DLEC1,PHTF2,LAMP2,IBTK,PROM1,ARHGAP44,,LRRC23,TAGLN,YBX2,ITGA2B,IFFO1,RHOBTB2,,CEACAM7,SYT7,,PGLYRP1,CACNG3,,TAC1,,YBX2,ITGA2B,DNAH9,CELSR3,SYN1,CACNG3,SLC13A2,SYN1,,CACNA2D2,RHOBTB2,CD4,RLBP1,HHATL,DYRK4,MPND,,ITGA3,SELE,PRSS3,MATK,ITGA2B,ITGA2B,YBX2,GABRA3,SYT7,,LAMP2,,CD4,PHTF2,DYRK4,CD79B
USH1C,ZBTB32,ARHGAP44,POMT2,ITGAL,CYB561,FARP2,ITGA2B,ZNF195,NOS2,SCIN,,BTK,CAPSL,KRT33A,REX1BD,PHF7,MASP2,,CD79B,ANLN,,PKD1,TMEM132A,,ZNF263,,KRT33A,CRLF1,BLTP2,AASS,DLEC1,TMEM132A,GAS7,TFAP2B,,SELE,REV3L,LRRC23,CRB2,PHF7,HHATL,MGST1,,LAMP2,FMO3,CD4,CEACAM7,CRLF1,REX1BD,KRT33A,CD22,PLAUR,,ITGA2B,,LRRC23,FARP2,HHATL,ST7L
GGCT,GABRA3,SCIN,VTA1,PDK2,CELSR3,USH1C,REX1BD,ITGAL,DNAH9,ARSD,,FYN,GJA1,MAP3K14,CRLF1,PRSS3,IYD,,ST7L,ZBTB32,,MASP2,AP2B1,,CX3CL1,,MAP3K14,YBX2,SLC13A2,PGLYRP1,CYTH3,AP2B1,MATK,DLEC1,,E2F2,MASP2,BTK,CDHR1,PRSS3,IFFO1,PGLYRP1,,ITGA2B,PSMB1,LRRC23,CD79B,OSBPL7,CRLF1,ABCC8,LTF,DCN,,CRLF1,,BTK,USH1C,IFFO1,TKTL1
IFRD1,CD22,ADIPOR2,DYRK4,ITGA3,AASS,GGCT,CRLF1,PDK2,BLTP2,PRSS21,,FMO1,CLGN,CACNG3,OSBPL7,CD4,POMT2,,TKTL1,GABRA3,,IYD,TAC1,,SPATA20,,ABCC8,KRT33A,GAS7,PKD1,CYB561,TAC1,CEACAM7,CELSR3,,SYN1,IYD,FYN,ROM1,CD4,PHF7,MMP25,,CRLF1,SYN1,BTK,ST7L,YBX2,OSBPL7,TMEM132A,ALOX5,ZBTB32,,YBX2,,FMO1,GTF2IRD1,PHF7,PAX6
GTF2IRD1,PRICKLE3,PRSS21,HHATL,ZFX,PGLYRP1,VPS41,OSBPL7,ITGA3,SLC13A2,MARK4,,DPF1,DNAAF1,TMEM132A,YBX2,LRRC23,SPRTN,,PAX6,CD22,,TRAF3IP3,SPATA20,,TNFRSF12A,,CACNG3,MAP3K14,CEACAM7,RHOBTB2,CELSR3,ZNF263,CD79B,PLEKHG6,,NADK,FAM76A,FMO1,POU4F1,LRRC23,PRSS3,PKD1,,OSBPL7,TFAP2B,FYN,TKTL1,KRT33A,YBX2,AP2B1,EHD3,TYROBP,,KRT33A,,BTBD7,VPS41,PRSS3,CACNA2D2
PAF1,LTF,MARK4,IFFO1,ITGA2B,PKD1,ARHGAP44,TMEM98,ZFX,GAS7,PROM1,,SYT7,SLC26A2,AP2B1,KRT33A,BTK,DYRK4,,RPUSD1,LTF,,BAZ1B,RALA,,MAP3K9,,TMEM132A,ABCC8,ST7L,CSDE1,PLEKHG6,SPATA20,ST7L,PGLYRP1,,TFAP2B,VTA1,DPF1,GPR61,BTK,CD4,SEC62,,YBX2,DLEC1,FMO1,PAX6,MAP3K14,KRT33A,TAC1,SLC7A14,GABRA3,,MAP3K14,,ABHD5,ARHGAP44,ZNF200,BAIAP3
ELAC2,ALOX5,PROM1,GIPR,REX1BD,RHOBTB2,SCIN,YBX2,LAMP2,MATK,NOS2,,PLAUR,CFAP70,TAC1,ABCC8,FMO1,STARD3NL,,CACNA2D2,ALOX5,,SPRTN,KDM7A,,BAIAP2L1,,AP2B1,CACNG3,TKTL1,UBE3C,MGST1,MAP3K9,TKTL1,NFIX,,DLEC1,SPRTN,SYT7,CFAP161,FYN,LRRC23,RPS20,,KRT33A,CELSR3,ABHD5,CACNA2D2,ABCC8,MAP3K14,ZNF263,CLDN11,CD22,,ABCC8,,DPF1,SCIN,CD4,SELE
SCIN,MAP4K5,NOS2,PHF7,CRLF1,CSDE1,ADIPOR2,KRT33A,ITGA2B,CEACAM7,DNAH9,,ANLN,PWWP3B,ZNF263,CACNG3,ABHD5,HHATL,,SELE,EHD3,,DYRK4,TTC22,,PHTF2,,TAC1,TMEM132A,PAX6,MASP2,PGLYRP1,RALA,PAX6,RHOBTB2,,SYPL1,DYRK4,PLAUR,RPGR,FMO1,BTK,REV3L,,MAP3K14,PLEKHG6,DPF1,SELE,CACNG3,ABCC8,SPATA20,SLC25A39,ALOX5,,CACNG3,,SYT7,ADIPOR2,LRRC23,FMO3
ARSD,EHD3,DNAH9,PRSS3,OSBPL7,UBE3C,PRSS21,ABCC8,REX1BD,CD79B,SLC13A2,,DCN,SLC34A2,SPATA20,TMEM132A,DPF1,IFFO1,,FMO3,SLC7A14,,CD9,PHTF2,,USH1C,,ZNF263,AP2B1,RPUSD1,IYD,PKD1,BAIAP2L1,CACNA2D2,HEATR5B,,CYB561,HHATL,ANLN,CLIC6,DPF1,ABHD5,MASP2,,ABCC8,MGST1,SYT7,FMO3,AP2B1,CACNG3,MAP3K9,GPRC5A,MAP4K5,,TMEM132A,,PLAUR,PRSS21,BTK,E2F2
ADIPOR2,SLC7A14,BLTP2,LRRC23,YBX2,MASP2,MARK4,CACNG3,CRLF1,ST7L,GAS7,,ZBTB32,TPPP3,MAP3K9,AP2B1,SYT7,PHF7,,E2F2,CLDN11,,IFFO1,FARP2,,COX10,,SPATA20,TAC1,CACNA2D2,BAZ1B,RHOBTB2,ALDH3B1,CRAMP1,MASP2,,CELSR3,IFFO1,DCN,SCUBE1,PLAUR,DPF1,IYD,,CACNG3,PGLYRP1,PLAUR,SYN1,TAC1,TMEM132A,ALDH3B1,CD6,EHD3,,AP2B1,,ANLN,PROM1,FYN,SYN1
PRSS21,CLDN11,SLC13A2,HFE,KRT33A,IYD,PROM1,TMEM132A,OSBPL7,TKTL1,TRAPPC6A,,TYROBP,RSPH1,BAIAP2L1,TAC1,PLAUR,PRSS3,,SYN1,SLC25A39,,PHF7,USH1C,,GTF2IRD1,,TNFRSF12A,SPATA20,BAIAP3,SPRTN,MASP2,TTC22,SELE,IYD,,PGLYRP1,PHF7,ZBTB32,RDH13,DCN,SYT7,TRAF3IP3,,TMEM132A,NFIX,ANLN,TFAP2B,ZNF263,AP2B1,TTC22,TACC3,SLC7A14,,TAC1,,DCN,NOS2,FMO1,DLEC1
PROM1,SLC25A39,GAS7,FMO1,MAP3K14,BAZ1B,NOS2,TAC1,TMEM98,PAX6,MATK,,GABRA3,IKZF3,ALDH3B1,ZNF263,ANLN,CD4,,CDKL5,ANGEL1,,PRSS3,GGCT,,ARHGAP44,,MAP3K9,AGK,CRAMP1,DYRK4,IYD,PHTF2,SYN1,TRAF3IP3,,PKD1,PRSS3,TYROBP,SLC1A7,QPCTL,PLAUR,POMT2,,AP2B1,RHOBTB2,DCN,DLEC1,CX3CL1,TAC1,PHTF2,ZC3H3,CLDN11,,SPATA20,,ZBTB32,DNAH9,MRC2,CYTH3
CEACAM21,PGM3,TRAPPC6A,MKS1,ABCC8,SPRTN,DNAH9,ZNF263,YBX2,CACNA2D2,CEACAM7,,CD22,C1orf87,FARP2,CX3CL1,DCN,LRRC23,,NADK,GPRC5A,,CD4,PAF1,,SCIN,,RALA,PHTF2,SELE,HHATL,POMT2,FARP2,TFAP2B,VTA1,,RHOBTB2,ZNF200,GABRA3,RHO,MAP4K3,ANLN,SPRTN,,TAC1,CSDE1,ZBTB32,SPAG9,SPATA20,ZNF263,USH1C,ACP3,SLC25A39,,MAP3K9,,TYROBP,BLTP2,DPF1,CELSR3
