adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,GNA12,ZMYM5,COMMD8,GLS2,IFNAR1,,RABL3,RNF128,MRPS7,ZNF750,,DDX27,,NBEAL1,,SELENOI,CLBA1,RPS3A,FCHO2,,KIAA0319L,FAM50B,,FNDC5,NSDHL,,ZNF428,,CRIM1,NIPSNAP3A,ALDOA,TMEM108,MRPS18C,MECP2,ORC3,FBP1,,ABCB10,UBASH3B,ZNF473,,PABIR3,CCZ1B,NEMF,,MPRIP,OSMR,PPFIA4,DMAP1,ICA1L,NAB2,MFSD8,CREB3L4,EIF2B5,RBM19,,ZMYM4,SHC2,POU2F1,KIF7
,SDK1,USPL1,ATP5ME,ITGA7,DNMT3L,,BOC,TBC1D8B,GGA3,CBX4,,BCAS4,,ANKMY1,,HADHB,WARS1,CBR4,STEAP2,,PLK4,TBC1D7,,MIX23,CETN2,,COX4I1,,SEC24D,ODF2,HIRIP3,EIF2A,GPR155,ASMTL,LMO2,PGAP4,,NTPCR,ANGPT1,RPL13A,,SUPV3L1,EGFR,DACT1,,SLC41A1,PLK2,PLEKHA6,NDUFAF3,PPP4R2,PATL1,ABHD18,C1orf43,VWA5B2,IFT81,,VIP,ABHD17A,NECTIN4,NAV2
,CCZ1B,POMP,DHRSX,TROAP,TMEM50B,,MED12L,BEX1,NUP85,DYM,,PCK1,,DIS3L2,,PPM1B,NIPA2,CYP4V2,CLDN12,,MAP3K6,GFOD1,,RRP1B,RPL10,,GSE1,,RILPL2,ECPAS,CNTN5,TRPC1,PMVK,FAM110B,NAT10,DYNLT3,,STX6,PITPNC1,CTU1,,HK1,PSPH,PRPF18,,LGR6,PIK3R1,PDIA6,GRAMD1C,GTPBP8,ATP23,RAD54L2,RIT1,FIP1L1,ACADS,,ARMT1,PHF10,UFC1,PLK1
,CDCA5,RNF17,PARM1,HNRNPA1,SAE1,,ALDH1L1,EPHB2,MIF4GD,MBD1,,NEURL2,,FANCD2,,PNPT1,SLC12A6,MYO10,FZD1,,SYTL1,ZMAT2,,GAB3,CCDC25,,SH3BGRL,,DHX37,C9orf78,ARID5B,DCAF1,INAVA,MN1,PRRG4,MID1IP1,,RNASEL,CC2D1B,RCN3,,TYSND1,ATXN7L1,VSTM4,,DCLK1,GIN1,CHAC2,BOLA1,SPICE1,MRPL16,DUSP7,INTS3,SLC26A1,HVCN1,,GNA12,STARD8,PPOX,CLPX
,PSPH,MPRIP,FAM110B,ACVR1B,ADAMTS10,,TRPC1,SRRM1,NT5C,SMAD4,,MTRR,,VGLL4,,DYNC2LI1,TCF12,OSMR,ARSL,,BCL10,GFRA3,,ICOSLG,HMBOX1,,COX7B,,UBC,NIBAN2,EEF1AKMT1,MANF,NAXE,NPIPB12,CAPRIN1,CARD19,,KIAA1614,LRRK1,RERE,,PHF6,TMEM168,VDAC2,,COG6,YIPF5,WDPCP,NDUFV2,THOC7,YWHAB,HMGB2,C1orf131,ATP10D,CDKN2C,,SDK1,SAT1,PFDN2,ZBTB39
,TRAPPC14,SLC41A1,NSMCE1,OS9,CAPN10,,AMT,ZNF414,MSTO1,ZCCHC2,,FASTKD3,,RETREG2,,THUMPD2,ZSCAN29,PLK2,AASDH,,CCN1,KLHL3,,CFAP410,GNRH1,,SLC34A1,,DCP1B,CDK5RAP2,ADGRL3,MUC4,ELF3,NPIPB3,DNAJC14,WNK2,,NIBAN1,ABCA10,EFHD2,,ZDHHC5,GIGYF1,FAM204A,,SPART,RNF145,ETAA1,DALRD3,PSMD6,DIS3L,HAND2,ACP1,SCD5,RNF11,,CCZ1B,GNL3L,MRPL24,NAB2
,SLC12A9,TMCC2,CCDC126,LTV1,NLRP12,,TCTA,HSPBP1,TTF1,NT5C3B,,PEPD,,CNOT9,,RAB1A,LYSMD2,PIK3R1,ZNF19,,PRKACB,DCDC2,,LSS,ERLIN2,,CAP1,,NGLY1,SLC31A2,KIAA1328,VWA5B2,CCT3,PGM2,GLS2,ZNF367,,PIGC,ABCA5,PGD,,MED19,TRIM4,PRDX3,,EPSTI1,FBXO38,SNRPG,ZNF366,ADAMTS9,RCCD1,ANXA5,SNAP47,ENOPH1,RASSF8,,EGFR,MOSPD2,ISG20L2,ATP23
,EPHA1,DCLK1,CD2BP2,MAP7,ZNF787,,DCAF1,CSNK1G2,BARHL1,RETREG3,,VAMP7,,STK11IP,,ACTR2,BNIP2,SSBP2,RNF111,,PTPRF,TNFRSF21,,PCNT,TACC1,,PPT1,,OXSM,SLC31A1,MIA2,SLC26A1,STK36,SIN3A,AGAP2,HDX,,RC3H1,MIA3,RPL11,,NPTN,EPHA1,GHITM,,POSTN,SPINK7,ABHD1,POGLUT3,PPM1K,AKTIP,GUCY1A1,SDE2,PYURF,ITPR2,,PSPH,DOCK6,CRABP2,PIP4K2C
,SHROOM2,SPART,CA5B,CD164,CARM1,,EIF2B5,SLF1,PPP1R12C,ERBB2,,STAMBP,,GMPPA,,PREB,CDAN1,IQGAP2,CCNB2,,LMO4,RNF44,,PRMT2,GOLGA7,,RAB11FIP4,,UBE3B,ZNF189,HNMT,SLC10A6,AZI2,PTAFR,BLOC1S1,OTUD1,,TTLL4,FAM167A,KIAA0319L,,RAB11FIP1,NCAPG2,PMPCA,,TPT1,PCYOX1L,SNRNP200,PLEC,HESX1,MAPRE2,IL15,FBXO28,TBCK,CCDC91,,ATXN7L1,ECSIT,ABL2,MTMR10
,LANCL3,TPT1,SHE,AFG1L,PSMB6,,VWA5B2,RTN3,INSIG2,GRB7,,SNRNP27,,EAF1,,EMILIN1,TLE3,SLC30A5,TSC22D3,,STRIP1,MMUT,,ST6GALNAC6,GINS4,,RLIM,,IPMK,STX17,PDCD4,SCD5,ANKZF1,PTPN9,PPP1R1A,HECTD2,,DNAJB2,OBSCN,EVA1B,,GLYATL2,LUC7L2,ENTR1,,RFC3,TNIP1,NAT8,RNF212,RPL9,MARS1,ANAPC10,GUK1,CAMK2D,NECAB1,,TMEM168,PRKCSH,XPR1,YWHAB
,CASK,GPALPP1,PGM2,NHSL1,ZNF473,,FIP1L1,SLC2A11,CCDC93,SLC39A3,,MPHOSPH10,,DYNC1LI1,,LRPPRC,ANP32A,BTF3,DYRK1A,,PSMA5,RASGEF1C,,SHKBP1,NSD3,,ABCB7,,SLC2A13,ATP6V1G1,CCDC102B,PYURF,STT3B,SCN9A,TSPAN31,INTS6L,,TMBIM1,TRIM11,PLK4,,UTP14A,LANCL3,BORCS5,,STARD13,G3BP1,EXOC6B,PLEKHM3,DNASE1L3,PDIA3,ABCE1,CDC42BPA,CISD2,WWP1,,TRAPPC14,NECTIN2,HMCN1,SMAD3
,MSN,RFC3,CRADD,HEY2,RPL13A,,PYURF,GIMAP6,SLC25A23,NFIC,,ATP8A1,,ACKR2,,DTNB,ETFA,TNFAIP8,MX1,,GPR161,DAAM2,,ZDHHC12,MRPS28,,TRAF3,,MAGI1,GARNL3,RGS18,TBCK,SUCLG1,TM2D2,KRT7,MARCHF8,,CYP27A1,ENAH,MAP3K6,,AIFM1,HDAC8,STK32C,,RNF128,N4BP3,DQX1,P4HTM,APBB2,SGSM1,TMEM184C,C1orf35,SPATA5,PRDX4,,SLC12A9,TOMM40,TUFT1,RCCD1
,DIPK2B,MORC4,ARL13B,PKIB,RCN3,,TBCK,GIMAP4,PSPN,MVB12A,,USP22,,STAC,,MYOF,HMG20A,ATG12,TAB3,,ALDH9A1,NFKBIE,,PKN3,SYBU,,MRPS25,,CSNK1G3,MRPL50,DLAT,CISD2,NUAK2,CCDC8,ZC3H10,SUGT1,,ARMC9,BUB3,SYTL1,,MAPK13,DIPK2B,PIP4P1,,GNG5B,NHP2,THNSL2,MAF,IL17RC,DUSP18,ITGA2,PARP1,CCNA2,DDX39A,,EPHA1,LRCH2,TARS2,MARS1
,CHST7,BEX2,RNASE2,MICAL1,RERE,,CAMK2D,AGAP3,CLPP,DUS3L,,POF1B,,RPL32,,KIF11,SKIC8,RNF145,SLC38A10,,TIPRL,PHIP,,PLPP7,LRP12,,SH3BP5,,MIPOL1,DPM2,NKAPD1,SPATA5,IFI16,PCBP1,ACVR1B,CRYL1,,CAB39,DIPK1A,WDTC1,,BAG4,CHST7,NDRG2,,TBC1D8B,RMND5B,SLC20A1,GTPBP6,CRELD1,PBX3,MOCS2,PYCR2,METTL14,PKN1,,LUC7L2,FAM98C,CGN,PDIA3
,EBP,GNG5B,RNASE3,STX11,PGD,,CISD2,ACTR3B,THOC2,DPP9,,USP9X,,SLC25A26,,TACC2,NEIL1,FBXO38,TMEM268,,NME7,PNRC1,,TAOK1,EBAG9,,HACL1,,TMEM18,TRMO,TIMM8B,METTL14,EIF5A2,NFU1,OS9,PKNOX2,,REV1,C21orf91,ITGB3BP,,ATAD2,NDUFB11,ZNF219,,FAM104A,ZMAT2,ZC3H8,ERN1,U2SURP,PHB1,EDIL3,LBR,USP53,WDR83,,TMEM47,SAFB2,ADAMTSL4,DUSP18
,OGT,BEX1,SCN9A,TEC,RPL11,,TIFA,KRAS,ATG4C,SIRT3,,BTN2A2,,UBA3,,CALHM2,DNAJA4,TNIP1,BRAF,,POGK,RARS2,,MED27,EIF3H,,TBC1D5,,THRSP,RABEPK,IL18,USP53,ICA1L,LUZP1,LTV1,DNAAF2,,MFSD9,MRPL39,BCL10,,ZNF689,OGT,CCDC186,,EPHB2,GFRA3,FAHD2B,RPP25,MTMR14,SNRPD1,NDUFAF2,ARL8A,NAF1,GIPC1,,CASK,GTPBP3,MCL1,MEI1
,SNX12,EPHB2,TM2D2,KLHL36,PLK4,,SPATA5,LARS1,TRIP10,PGGHG,,SIRT5,,LRIG1,,EXOC6,IGF1R,G3BP1,WDR19,,MPC2,ARHGAP18,,CXCR5,NDUFB9,,RFTN1,,NDUFC2,XPA,PTS,NAF1,RYBP,ASPSCR1,MAP7,ZNF22,,EDAR,CCDC174,CCN1,,FBRS,SNX12,ZFYVE1,,SRRM1,TNFRSF21,AFF3,GRINA,RYK,TRUB2,PRRC1,CHAC2,MARCHF1,ACTRT1,,NDUFB11,BST2,CERS2,PBX3
,DIAPH2,ZNF414,ZEB2,MPHOSPH6,SYTL1,,METTL14,IMPA1,GPR108,HUNK,,WRNIP1,,ENSG00000144785,,DBR1,BBS4,NHP2,AP3S2,,POU2F1,ABRACL,,FLAD1,TATDN1,,RBSN,,NUBPL,NCBP1,PIP4K2A,MARCHF1,PPP4R2,MT1E,NHSL1,KLHDC2,,MRPS9,FGD5,PRKACB,,GALK2,DIAPH2,UBTD1,,ZNF414,RNF44,SPOPL,STX19,UCN,SLC27A4,WDR41,RPS27A,RPS3A,CCDC70,,OGT,NSUN5,ARNT,SNRPD1
,RADX,HSPBP1,PCBP1,DYNC1LI2,WDTC1,,NAF1,LRRCC1,OPA3,SOD1,,SERPINB6,,PHLDB2,,DNAJC13,LINS1,BOD1,RAB28,,MGST3,SLC18B1,,VPS11,AK3,,SLC6A6,,NEK7,ANP32B,CRIM1,ROPN1L,SPICE1,DUS1L,AHI1,RPUSD4,,C2orf49,FLCN,LMO4,,MPV17L,RBMX,ISCA2,,HSPBP1,MMUT,PKP4,APOLD1,WDR43,CERCAM,NDUFS4,WDPCP,CBR4,SPRYD7,,SNX12,COLGALT1,EIF2D,URM1
,MCPH1,CSNK1G2,VPREB1,FBXL8,ITGB3BP,,MARCHF1,CCDC59,SNRPD2,DNMT3L,,XPO5,,RABL3,,ANXA7,PCSK6,GFRA3,PRXL2B,,ADCY10,TIAM2,,NLRX1,NFIB,,PDLIM4,,CDC123,PDCL,SEC24D,SRD5A1,WDFY3,DCXR,HEY2,VSTM4,,ISCU,OXNAD1,SLC44A3,,PDE6D,MCPH1,PACSIN3,,CNDP2,DAAM2,SLC4A10,EXOSC4,ZDHHC3,PRR15L,GRPEL2,SNRPG,MYO10,EBPL,,RADX,MRPL34,TAF1A,DOLPP1
,MFHAS1,CNDP2,DFFB,CCDC102A,BCL10,,NDUFS6,BMAL1,EML2,DOP1B,,ABCC10,,SRPRB,,ASCC1,SCAMP2,DCDC2,C12orf43,,UFC1,ZMYM4,,ADAR,HAUS6,,MGAT1,,FRMD4A,RPL35,RILPL2,MYO10,COX18,LDB2,PKIB,PDZD8,,ALDH1L2,SKA1,STRIP1,,BRPF1,NSDHL,PSMC3,,CEP20,ANO7,PHOSPHO2,DPY19L3,ZNF148,KATNAL2,SERINC5,ABHD1,PAM,ZC3H13,,MCPH1,PGLS,SMYD2,CRK
,NSDHL,CEP20,C15orf40,PCNX2,CCN1,,CDH18,MICAL2,VASP,AKT1,,H1-3,,EIF2A,,RPS24,POLG,TNFRSF21,SKI,,PFDN2,VIP,,UBE2Q1,CDKN2A,,GFPT2,,EPS8,ARPC5L,UBC,OSMR,PTPN13,HNRNPF,SMPD2,ZNF503,,SCYL2,PPP4R1,PSMA5,,SMG1,CETN2,TC2N,,MORC2,NFKBIE,HSPD1,CYBC1,NMNAT3,HDHD2,CASP3,ZNF514,SLC30A5,ITIH5,,MFHAS1,TULP4,TP53BP2,KATNAL2
,CETN2,FAM83F,LUZP1,KCNK1,LMO4,,OSMR,RRAS2,SYMPK,SAE1,,PEX6,,TRPC1,,DNA2,FANCI,MMUT,KRTCAP3,,PRCC,ARMT1,,FDPS,ZCCHC7,,TUBG1,,THYN1,ENPP2,NGLY1,PIK3R1,THOC7,PCDH7,REPS1,QSOX2,,APPL2,PIEZO2,C1orf162,,FCHO2,ATP6V1B2,CPSF2,,GIMAP6,TPBG,METTL21A,ZBTB7A,SMIM12,CDK12,ERAP1,MRPS5,TNFAIP8,ATF1,,NSDHL,SNX9,ADAM15,POP5
,ATP6V1B2,GIMAP6,LRRC45,NTPCR,SLC44A3,,PLK2,ZFC3H1,SDCBP2,ADAMTS10,,OARD1,,LPP,,BARD1,ABHD2,NFKBIE,PAFAH2,,METTL25B,SLC22A3,,RUSC1,SIGMAR1,,RPL27,,QTRT2,DSCC1,NOPCHAP1,IQGAP2,PSMD6,ROBO1,STX11,GHITM,,NEK3,MPPE1,GPR161,,RBPMS,BIN3,IFI27,,ADCK2,PHIP,NBEAL1,TUFM,ZMYM6,DPEP2,ERAP2,EXOC6B,FEM1C,NCKAP1L,,CETN2,RTN4IP1,JTB,ENGASE
,HMBOX1,GIMAP4,AGPAT2,STX6,STRIP1,,PIK3R1,DUSP26,PANK2,RNPEPL1,,UNC5CL,,DCAF1,,CARF,ZNF710,PHIP,BABAM2,,MRPL24,GNA12,,NBEAL2,NTRK2,,ACLY,,MMAA,MYC,UBE3B,SLC30A5,PPM1K,AVEN,CCT7,TSC1,,VPS36,USP43,ALDH9A1,,ODR4,SLC25A37,SMCO4,,ACTR3B,RARS2,SPAG16,RRS1,TPRA1,STIM1,CFAP97,SFXN5,COMMD10,PFDN5,,ATP6V1B2,QRSL1,RAB13,MYO5B
,BIN3,ACTR3B,ASPSCR1,RNASEL,PSMA5,,SSBP2,DGLUCY,CD93,CAPN10,,AARS2,,ILDR1,,ASNSD1,UNC45A,RARS2,GRHL3,,TOR1AIP1,C7orf50,,ZNF394,IDNK,,VPS25,,ZNF827,DMAC1,PLBD2,BTF3,RPL9,TRIM56,USP15,HPRT1,,CKAP2,ACSS1,ATP1B1,,STEAP2,CHMP7,R3HCC1L,,TMTC1,RSPO3,VGLL4,EXOC3L1,SNIP1,TRIM68,GFM2,NPHP1,YIPF5,SPATS2,,BIN3,MTRES1,TPM3,STIM1
,CHMP7,TMEM254,GP9,KIAA1614,C1orf162,,SLC30A5,MED6,NAPB,NLRP12,,RPS10,,EIF2B5,,SSB,MCTP2,RSPO3,PTPDC1,,HMCN1,SDK1,,CPSF4,SHC3,,NDUFA2,,NR3C2,RANBP6,CSNK1G3,TNFAIP8,SMIM14,TPST1,GNS,BORCS5,,TBC1D4,APOOL,NME7,,CLDN12,PLPBP,CEP57,,IPO8,SLC18B1,RETREG2,CYC1,RPN1,VKORC1,CCDC127,ZC3H8,ARHGAP26,NR4A1,,CHMP7,RSPH3,SNAPIN,TRIM68
,ERLIN2,LARS1,DUS1L,CEP350,CD53,,FEM1C,EIF2S1,CENPB,TIMM29,,MOCS1,,VWA5B2,,NAB1,FURIN,SHPRH,NCK1,,RGL1,CCZ1B,,PWWP3A,AUH,,NDFIP1,,MFSD6,PLAA,TMEM18,ATG12,ABHD6,ZFPM2,KLHL36,STK32C,,BORA,CYP2U1,MPC2,,FZD1,ERLIN2,TCP11L2,,LRRCC1,TIAM2,CNOT9,TMTC2,SENP2,SMG8,GRIK2,LIPT1,CXCL14,CDK2,,ST18,AFDN,UBAP2L,TPM4
,ST18,SPINK5,RFNG,NIBAN1,GPR161,,CXCL14,MRO,NKX2-2,CARM1,,TBCC,,DGKQ,,IDH1,CRTC3,TIAM2,RHPN1,,TARS2,INTS15,,PPP1R16A,AOPEP,,UBE2D2,,RNF144A,IL11RA,FER,CXCL14,IL17RC,IFFO2,MPHOSPH6,JCAD,,LRCH1,PROM2,TMCO1,,DDX19B,TACC1,SPRED1,,CCDC59,TMEM181,STK11IP,SPTY2D1,RFC4,GATAD2A,CGAS,AFF3,DDX46,LRP1,,TACC1,ACTN4,CREB3L4,GATAD2A
,TACC1,IMPA1,RAC3,PIGC,NME7,,DDX46,IER3IP1,DTD1,EVI5L,,CDKN1A,,ATP10D,,CIR1,EFL1,TMEM181,DZIP1L,,ADAMTSL4,EGFR,,MRNIP,INIP,,EXOC4,,ASAP2,APTX,SCLT1,RNF145,CRELD1,CHD3,DYNC1LI2,FUNDC2,,SUCLA2,PIP4P2,ADCY10,,FCSK,LACTB2,GPT2,,BMAL1,WTAP,GMPPA,EDC3,TKT,MVD,TMEM200A,UBXN4,RNF145,ATG101,,GINS4,STK33,KCNN3,MVD
,LACTB2,LRRCC1,LIMS1,LAMC1,MPC2,,NHP2,MRPS36,SNRPB,PSMB6,,SSR1,,SCD5,,ABI2,ARMC5,ZMYM4,FANCC,,MCL1,CDCA5,,MAML1,UGCG,,ACAP3,,ADAM17,RNF38,EPS8,FBXO38,PCOLCE2,YWHAG,FBXL8,PIP4P1,,LMO7,OTUD6B,UFC1,,DHRS1,RPL7,RPUSD2,,SBF2,ZMYM4,DYNC1LI1,RAD23A,RFT1,TRAPPC2L,DACT2,SPOPL,C1QTNF2,IKZF4,,MRPS28,FCHO1,C1orf43,CDT1
,SYBU,BMAL1,CSGALNACT2,RC3H1,TMCO1,,CPLX2,CDK7,NRSN2,ZNF473,,SLC35B3,,ENOPH1,,ITGAV,PARN,ARMT1,MRAS,,PI4KB,ATXN7L1,,NAPEPLD,GSN,,ANO1,,WWC2,TLN1,ACAD8,PCYOX1L,HPS3,UBE2E3,CCDC102A,NDRG2,,ITM2B,CDK19,PPOX,,ARSL,SYBU,HIF1AN,,RRAS2,SLC22A3,RPL32,RTL3,GNL3,ANKRD11,PDSS2,POLR2D,FBXO38,TUBA1B,,LACTB2,MAP1S,RIT1,ZNF641
,EBAG9,MICAL2,PCDH7,MRPL44,ADCY10,,FAM50B,CHL1,AP5S1,RPS11,,NUP153,,GC,,SENP7,FTO,SLC22A3,WASF2,,ANXA9,TMEM168,,AP2M1,MRRF,,PPFIA1,,SLC25A4,DNAJB5,THYN1,TNIP1,UCN,CNTROB,PCNX2,ZNF219,,SPRY2,GTF3C6,PFDN2,,ZNF19,LRP12,NDUFB8,,ZFC3H1,GNA12,SLC25A26,CLK3,PBRM1,NCKAP5L,H2AC1,SCRN3,PCYOX1L,KBTBD4,,RPL7,PGPEP1,GALNT2,RHEBL1
,EIF3H,RRAS2,ROBO1,USP37,UFC1,,GFOD1,TSPAN2,RRBP1,NOSIP,,DEK,,KLHL8,,COX17,UQCRC2,GNA12,FAIM,,CERS2,TRAPPC14,,ABCF3,WDR31,,TMEM204,,BICD1,DCTN3,VTI1A,G3BP1,ZNF513,SIMC1,KCNK1,CASP7,,NUDT15,MMS19,METTL25B,,RNF111,EIF3H,ZFYVE19,,DPF2,C7orf50,UBA3,GPC5,TASOR,GPD1,IL31RA,PHOSPHO2,TNIP1,SARDH,,SYBU,LSM4,SNAP47,TUBA1A
,TATDN1,HSD17B4,TRIM56,DNAJB2,PFDN2,,GFRA3,VAV3,ZNF133,RCN3,,EEF1E1,,PYURF,,SPPL2A,CDR2,SDK1,CUL4B,,ENSA,SLC12A9,,PCYT1A,POLE3,,TRAF7,,GUF1,HINT2,EDNRA,RMND5B,KIAA1143,UBE2E1,EGLN1,TRUB1,,EDNRB,GOLGA7B,MRPL24,,APPL1,NDUFB9,SPINT1,,MEN1,SDK1,ENSG00000144785,MKRN3,ARHGEF3,AXL,ANKRD55,FAM171B,G3BP1,ATPAF1,,EBAG9,JUND,NVL,TUBA1C
,VLDLR,ZFC3H1,REPS2,CYP27A1,USP21,,TRIM7,CHIA,FLRT3,RERE,,LRRFIP1,,TBCK,,GLCE,DHX38,INTS15,GPRASP2,,POGZ,EPHA1,,BDH1,GBGT1,,MAP1B,,SACS,DENND4C,NR3C2,BOD1,ZDHHC3,GON7,NTPCR,ZFYVE1,,RCBTB2,USP25,ABL2,,TSC22D3,AK3,LARP6,,DGLUCY,CCZ1B,COL8A1,GCC1,SLBP,ZNF526,STK17A,HSPD1,BOD1,HJURP,,EIF3H,TRPM4,SDE2,ZNF610
,AK3,MEN1,SYAP1,ARMC9,PRCC,,TRIM41,PTPN22,MKKS,FHAD1,,RAB17,,CAMK2D,,INTS14,MAP1LC3B,EGFR,RHBDL2,,GABPB2,SHROOM2,,ZNF382,SURF1,,CKMT2,,GFRA1,RPS6,ADAM8,FAM50B,FYCO1,ELP5,STX6,FRAT1,,CHST12,PPM1J,HMCN1,,VPS26C,HAUS6,ALKBH3,,NUMB,EGFR,PHLDB2,PLD6,UBXN7,DAPK3,USP49,METTL21A,GFRA3,AMD1,,TATDN1,CAMSAP1,FBXO28,NCKAP5L
,NFIB,ERG28,IFFO2,CAB39,METTL25B,,HIGD2A,SORT1,DSTN,EFHD2,,AHNAK,,CISD2,,PPCDC,MBTPS1,CDCA5,SHROOM4,,EIF2D,LUC7L2,,PGAP3,SURF6,,ZCCHC9,,PTPN14,CNPY3,MFSD6,FARS2,DTX3L,UBB,RNASEL,ARHGAP42,,IGF2BP3,C9orf85,RGL1,,C2CD2,CDKN2A,COPS2,,MED6,CDCA5,IGSF11,CDC42EP4,MELTF,KIFC2,LMTK2,SPAG16,HIGD2A,NDUFAF4,,NAPRT,SAMD10,CNIH4,PROSER3
,CDKN2A,DGLUCY,YWHAG,COX5B,ISG20L2,,TNFRSF21,NOTCH2,MGME1,PEX14,,EMC3,,TIFA,,UBL7,NDUFB10,MDH2,H4C8,,TAF1A,LANCL3,,ACOX1,REXO4,,PPP1R1B,,GPATCH11,KIF13A,ASAP2,ZMAT2,ZNF148,PRDM10,KIAA1614,ISCA2,,RAPGEF5,RBM45,PRUNE1,,TMEM268,ZCCHC7,ARIH1,,EIF2S1,MDH2,SRPRB,ZBTB42,ERMAP,SRR,CTSB,DIS3L2,TNFRSF21,USP45,,VLDLR,LSP1,CDC42BPA,ZNF526
,C9orf72,MED6,SIMC1,REV1,ABL2,,DAAM2,CD101,TBC1D20,PGD,,PHAF1,,CCNA2,,ARHGAP24,DEF8,NIPSNAP2,EIF5B,,SMYD2,CASK,,CYGB,ASB6,,KHDRBS3,,OBI1,ZSCAN9,ADAM17,GFRA3,SMIM12,FOS,CEP350,PACSIN3,,KDELR2,KDM8,TUFT1,,BRAF,FBXO10,FAM227B,,MBD2,NIPSNAP2,EIF2A,MAF1,SGMS2,CYB5D2,RAD21,VGLL4,RNF44,MORF4L2,,AK3,TUBGCP2,C1orf35,ZNF146
,ZCCHC7,EIF2S1,TMEM192,MFSD9,RGS16,,FGD2,SPIRE1,ITPA,RPL11,,GOT2,,METTL14,,FAM13A,TCF25,CCT6A,CNOT11,,DUSP10,MSN,,KASH5,NTMT1,,PEX11B,,HAUS1,CMTR1,WWC2,TRIM41,RPN1,TMED10,PIGC,TTC7B,,AOAH,FZD7,CGN,,RAB28,SIGMAR1,CYYR1,,IER3IP1,CCT6A,TRPC1,SERTAD2,PLXNB1,GGT6,SPIDR,CNOT9,MMUT,ESX1,,NFIB,PNPLA7,MBOAT2,DAPK3
,SIGMAR1,CTIF,ZNF778,EDAR,RGL1,,NFKBIE,TMEM106C,MRPS26,PLK4,,DOK4,,NAF1,,ZGRF1,GAS8,PSPH,TSR2,,TP53BP2,HDAC8,,MPP3,SLC25A25,,PRKAB2,,TGOLN2,TMEM63B,BICD1,TNFRSF21,SENP2,EMX2,LAMC1,TC2N,,HUS1,RNF20,ADAMTSL4,,PRXL2B,ZNG1E,CUL5,,MRPS36,ATXN7L1,FAM86B2,ZNF154,SHISA5,ZNF83,ORC5,STK11IP,RASGEF1C,RAB9A,,CDKN2A,PAK4,PARP1,CHAF1A
,ZNG1E,MBD2,GYPA,GCC2,SF3B4,,TPBG,SLC38A2,NCLN,MAP3K6,,CLYBL,,MARCHF1,,AP1AR,NCOR1,ATXN7L1,GDPD5,,ATP8B2,DIPK2B,,LSM12,GPR107,,ZNF304,,POC5,TJAP1,GUF1,MMUT,IFT122,HARS1,RC3H1,CLMN,,CCM2,RRAGA,ANXA9,,C12orf43,IDNK,WBP1L,,CCNB1,TMEM168,LPP,R3HDM2,SPRY1,SPRYD3,DEFA4,GMPPA,DAAM2,TTC21B,,C9orf72,TAF4,PYCR2,ZNF444
,IDNK,IER3IP1,ZNF282,C2orf49,TARS2,,ABRACL,YWHAQ,ZNF436,SYTL1,,RAP2A,,RPS3A,,COPS4,COPS3,TMEM168,TMED4,,ADAM15,CHST7,,ASB16,SEC16A,,ZSCAN5A,,FAM151B,SLC22A23,MZT2B,RASGEF1C,RFC4,DNAJC18,MRPL44,CACNB2,,CIDEB,PXYLP1,CERS2,,RER1,SHC3,APBB1,,CAMK1,GIGYF1,DCAF1,PUF60,INTU,NUDT8,GPER1,DYNC1LI1,NFKBIE,TNFAIP6,,ZCCHC7,OSBPL2,PLEKHA6,NXN
,SHC3,MRPS36,GLB1,EPC2,ADAMTSL4,,SLC18B1,KIDINS220,ARMCX5,WDTC1,,ABCC4,,CBR4,,HNRNPD,GID4,TRAPPC14,COPG2,,JTB,ZNF41,,EMC10,NOTCH1,,SNRPA1,,TADA1,LRRC1,PTPN14,FGD2,BAP1,NUDT9,USP37,ARL5B,,TTC5,ADCY8,GABPB2,,BABAM2,AOPEP,TRIM44,,THUMPD3,TRIM4,ILDR1,TSHZ1,MFSD8,PRDX2,SLC4A2,POMGNT2,PHIP,BAZ2B,,SIGMAR1,ADRM1,PTPN7,GLOD4
,AUH,CCNB1,GON7,ISCU,ANXA9,,SHPRH,ROCK2,MMP24,ITGB3BP,,EFNB2,,CYP4V2,,PRKG2,MYOCD,SLC12A9,EMSY,,RAB13,OGT,,PLCD3,NACC2,,LLGL1,,GUCY1A2,FLOT1,HSPB8,TPBG,PRKCD,PA2G4,SLC19A3,R3HCC1L,,ABHD17C,VBP1,EIF2D,,NCK1,UGCG,TAF10,,VHL,EPHA1,EIF2B5,PSTK,MST1R,MIS12,COX6C,ITGA9,PM20D2,SLC36A1,,SHC3,EXOSC2,ARL8A,GGT6
